"adr","State","City","Service","Count","EditionYear","Comments","lon","lat"
"Abilene, Texas","Texas","Abilene","Tavern",1,1939,"",-99.7331439,32.4487364
"Abingdon, Virginia","Virginia","Abingdon","Tourist Home",4,1939,"",-81.9773482,36.7098335
"Abingdon, Virginia","Virginia","Abingdon","Tourist Home",4,1938,"",-81.9773482,36.7098335
"Absecon, New Jersey","New Jersey","Absecon","Tavern",1,1939,"",-74.4957076,39.4284503
"Acron, Ohio","Ohio","Acron","Hotel",5,1939,"",-81.5190053,41.0814447
"Acron, Ohio","Ohio","Acron","Beauty Parlor",1,1939,"",-81.5190053,41.0814447
"Acron, Ohio","Ohio","Acron","Tavern",1,1939,"",-81.5190053,41.0814447
"Aiken, South Carolina","South Carolina","Aiken","Tourist Home",2,1938,"",-81.7195533,33.5604168
"Aiken, South Carolina","South Carolina","Aiken","Road House",1,1938,"",-81.7195533,33.5604168
"Aiken, South Carolina","South Carolina","Aiken","Drug Store",1,1939,"",-81.7195533,33.5604168
"Aiken, South Carolina","South Carolina","Aiken","Service Station",1,1939,"",-81.7195533,33.5604168
"Aiken, South Carolina","South Carolina","Aiken","Tourist Home",3,1939,"",-81.7195533,33.5604168
"Aiken, South Carolina","South Carolina","Aiken","Road House",1,1939,"",-81.7195533,33.5604168
"Akron, Ohio","Ohio","Akron","Hotel",4,1938,"",-81.5190053,41.0814447
"Albany, Georgia","Georgia","Albany","Tourist Home",4,1939,"",-84.155741,31.5785074
"Albany, Georgia","Georgia","Albany","Tourist Home",4,1938,"",-84.155741,31.5785074
"Albany, New York","New York","Albany","Tourist Home",6,1939,"",-73.7562317,42.6525793
"Alexandria, Virginia","Virginia","Alexandria","Tourist Home",2,1938,"",-77.0469214,38.8048355
"Alexandria, Virginia","Virginia","Alexandria","Tourist Home",2,1939,"",-77.0469214,38.8048355
"Allentown, Pennsylvania","Pennsylvania","Allentown","Tourist Home",3,1939,"",-75.4901833,40.6084305
"Allentown, Pennsylvania","Pennsylvania","Allentown","Tourist Home",2,1938,"",-75.4901833,40.6084305
"Alliance, Ohio","Ohio","Alliance","Tourist Home",3,1939,"",-81.1059309,40.9153362
"Andalusia, Alabama","Alabama","Andalusia","Tourist Home",1,1939,"",-86.4832913,31.3085039
"Andalusia, Alabama","Alabama","Andalusia","Tourist Home",1,1938,"",-86.4832913,31.3085039
"Anderson, Indiana","Indiana","Anderson","Tavern",1,1939,"",-85.6802541,40.1053196
