State,City,Service,Count,EditionYear,Comments
New Jersey,Eatontown,Hotel,1,1937,
New Jersey,Englewood Cliffs,Dine and Dance,1,1937,
New York,Elmsford,Dine and Dance,1,1937,
New York,Larchmont,Dine and Dance,1,1937,
New York,Mt. Vernon,Dine and Dance,1,1937,
New York,Mt. Vernon,Restaurant,2,1937,
New York,"Nepperhan, Yonkers",Restaurant,1,1937,
New York,New Rochelle,Beauty Salon,1,1937,
New York,New Rochelle,Dine and Dance,1,1937,
New York,New Rochelle,Dining,2,1937,
New York,New Rochelle,Pharmacy,1,1937,
New York,New Rochelle,Restaurant,1,1937,
New York,New Rochelle,Restaurant and Bar,1,1937,
New York,New York City,ACE Auto Supply,1,1937,
New York,New York City,American and English Bicycles,1,1937,
New York,New York City,Auto Blacksmith,1,1937,
New York,New York City,Auto Electric Service,1,1937,
New York,New York City,Auto Painting  ,1,1937,
New York,New York City,Auto Painting And Body Shop,1,1937,
New York,New York City,Auto Repairing,5,1937,
New York,New York City,Auto Sales,1,1937,
New York,New York City,Auto Supplies,2,1937,
New York,New York City,Automobile Technician,1,1937,
New York,New York City,Automotive Service,1,1937,
New York,New York City,Batteries,1,1937,
New York,New York City,Beauty Salon,1,1937,
New York,New York City,Care Storage,1,1937,
New York,New York City,Cleaning and Tailoring,4,1937,
New York,New York City,Diner,1,1937,
New York,New York City,Printers and Publishers,1,1937,
New York,New York City,Radio Repairing,1,1937,
New York,New York City,Restaurant,1,1937,
New York,New York City,Retail Wine and Liquor,1,1937,
New York,New York City,Used Cars,1,1937,
New York,Pleasantville,Dine and Dance,2,1937,
New York,Portchester,Cabaret and Restaurant,1,1937,
New York,Tuckahoe,Barber Shop,1,1937,
New York,Tuckahoe,Beauty Salon,1,1937,
New York,Tuckahoe,Lunch Room,1,1937,
New York,Tuckahoe,Restaurant,1,1937,
New York,White Plains,Dine and Dance,1,1937,
New York,White Plains,Restaurant,1,1937,
New York,Yonkers,Dine and Dance,1,1937,
Alabama,Andalusia,Tourist Home,1,1938,
Alabama,Birmingham,Hotel,4,1938,
Alabama,Decatur,Tourist Home,1,1938,
Alabama,Gadsden,Hotel,1,1938,
Alabama,Gadsden,Tourist Home,4,1938,
Alabama,Geneva,Tourist Home,3,1938,
Alabama,Sheffield,Hotel,1,1938,
Alabama,Sheffield,Tourist Home,1,1938,
Alabama,Tuscaloosa,Tourist Home,4,1938,Spelled: Tuscalooso
Connecticut,Bridgeport,Hotel,1,1938,Not categorized
Connecticut,Bridgeport,Tourist Home,3,1938,
Connecticut,Hartford,Hotel,2,1938,
Connecticut,New Haven,Hotel,3,1938,
Connecticut,New Haven,Tourist Home,4,1938,
Connecticut,New London,Tourist Home,5,1938,
