State,City,Service,Count,EditionYear,Comments
Alabama,Birmingham,Hotel,3,1950,
Alabama,Gadsden,Tourist Home,2,1950,
Alabama,Mobile,Hotel,1,1950,
Alabama,Mobile,Tourist Home,4,1950,1 is ad
Alabama,Montgomery,Hotel,1,1950,
Alabama,Montgomery,Restaurant,1,1950,
Alabama,Montgomery,Tavern,1,1950,
Alabama,Sheffield,Hotel,1,1950,
Alabama,Sheffield,Tourist Home,1,1950,
Alabama,Tuscaloosa,Tourist Home,2,1950,Spelled: Tuscalooso
Arkansas,Arkadelphia,Hotel,1,1950,
Arkansas,Arkadelphia,Tourist Home,2,1950,
Arkansas,Arkadelphia,Restaurant,2,1950,
Arkansas,Arkadelphia,Barber Shop,2,1950,
Arkansas,Brinkley,Tourist Home,1,1950,
Arkansas,El Dorado,Hotel,2,1950,
Arkansas,El Dorado,Tourist Home,2,1950,
Arkansas,Fayetteville,Hotel,1,1950,
Arkansas,Fayetteville,Tourist Home,2,1950,
Arkansas,Fort Smith,Hotel,1,1950,
Arkansas,Fort Smith,Tourist Home,1,1950,
Arkansas,Hope,Hotel,1,1950,
Arkansas,Hope,Restaurant,1,1950,
Arkansas,Hope,Beauty Parlor,1,1950,
Arkansas,Hope,Barber Shop,1,1950,
Arkansas,Hope,Service Station,1,1950,
Arkansas,Hope,Garage,1,1950,
Arkansas,Hope,Road House,1,1950,
Arkansas,Hot Springs,Hotel,3,1950,
Arkansas,Hot Springs,Tourist Home,5,1950,
Arkansas,Hot Springs,School of Beauty Culture,1,1950,
Arkansas,Hot Springs,Sanitarium,1,1950,
Arkansas,Little Rock,Hotel,6,1950,
Arkansas,Little Rock,Tourist Home,2,1950,
Arkansas,Little Rock,Restaurant,10,1950,
Arkansas,Little Rock,Beauty Parlor,8,1950,
Arkansas,Little Rock,Night Club,2,1950,
Arkansas,Little Rock,Barber Shop,8,1950,
Arkansas,Little Rock,Tavern,1,1950,
Arkansas,Little Rock,Liquor Store,3,1950,
Arkansas,Little Rock,Garage,2,1950,Garage category listed twice
Arkansas,Little Rock,Tailor,5,1950,
Arkansas,Little Rock,Service Station,4,1950,
Arkansas,Little Rock,Drug Store,2,1950,
Arkansas,North Little Rock,Hotel,1,1950,
Arkansas,North Little Rock,Tourist Home,1,1950,
Arkansas,North Little Rock,Restaurant,3,1950,
Arkansas,North Little Rock,Road House,1,1950,
Arkansas,Camden,Tourist Home,2,1950,
Arkansas,Camden,Restaurant,1,1950,
Arkansas,Camden,Tavern,3,1950,
Arkansas,Camden,Liquor Store,1,1950,
Arkansas,South Camden,Road House,1,1950,
Arkansas,Pine Bluff,Hotel,1,1950,
Arkansas,Pine Bluff,Tourist Home,1,1950,
Arkansas,Pine Bluff,Restaurant,2,1950,
Arkansas,Pine Bluff,Barber Shop,1,1950,
Arkansas,Pine Bluff,Beauty Parlor,1,1950,
Arkansas,Pine Bluff,School of Beauty Culture,2,1950,
Arkansas,Pine Bluff,Garage,1,1950,
Arkansas,Fordyse,Restaurant,1,1950,
Arkansas,Helena,Service Station,1,1950,
Arkansas,Russellville,Tourist Home,1,1950,
Arkansas,Texarkana,Hotel,1,1950,
Arkansas,Texarkana,Tourist Home,1,1950,
Arkansas,Texarkana,Restaurant,1,1950,
Arkansas,Texarkana,Beauty Parlor,1,1950,
Arizona,Douglas,Tourist Home,1,1950,
Arizona,Douglas,Restaurant,1,1950,
Arizona,Nogales,Restaurant,1,1950,
Arizona,Phoenix,Hotel,1,1950,
Arizona,Phoenix,Tourist Home,3,1950,
Arizona,Phoenix,Restaurant,2,1950,
Arizona,Phoenix,Beauty Parlor,3,1950,
Arizona,Phoenix,Barber Shop,2,1950,
Arizona,Phoenix,Tavern,1,1950,
Arizona,Phoenix,Night Club,1,1950,
Arizona,Phoenix,Service Station,1,1950,
Arizona,Phoenix,Garage,1,1950,
Arizona,Phoenix,Drug Store,1,1950,
Arizona,Tucson,Tourist Home,1,1950,
Arizona,Yuma,Hotel,1,1950,
Arizona,Yuma,Tourist Home,1,1950,
California,Berkley,Beauty Parlor,1,1950,
California,Berkley,Barber Shop,1,1950,
