State,City,Service,Count,Edition,Comments
Alabama,Birmingham,Hotel,3,1951,
Alabama,Gadsden,Tourist Home,2,1951,
Alabama,Mobile,Hotel,1,1951,
Alabama,Mobile,Tourist Home,4,1951,
Alabama,Montgomery,Hotel,1,1951,
Alabama,Montgomery,Restaurant,1,1951,
Alabama,Montgomery,Tavern,1,1951,
Alabama,Sheffield,Hotel,1,1951,
Alabama,Sheffield,Tourist Home,1,1951,
Alabama,Tuscaloosa,Tourist Home,3,1951,Spelled Tuscalooso in all prior editions
Arkansas,Arkadelphia,Hotel,1,1951,
Arkansas,Arkadelphia,Tourist Home,2,1951,
Arkansas,Arkadelphia,Restaurant,2,1951,
Arkansas,Arkadelphia,Barber Shop,2,1951,
Arkansas,Brinkley,Tourist Home,1,1951,
Arkansas,El Dorado,Hotel,2,1951,
Arkansas,El Dorado,Tourist Home,2,1951,
Arkansas,Fayetteville,Tourist Home,2,1951,
Arkansas,Fort Smith,Hotel,1,1951,
Arkansas,Fort Smith,Tourist Home,1,1951,
Arkansas,Hope,Hotel,1,1951,
Arkansas,Hope,Restaurant,1,1951,
Arkansas,Hope,Beauty Parlor,1,1951,
Arkansas,Hope,Barber Shop,1,1951,
Arkansas,Hope,Service Station,1,1951,
Arkansas,Hope,Garage,1,1951,
Arkansas,Hope,Road House,1,1951,
Arkansas,Hot Springs,Hotel,2,1951,
Arkansas,Hot Springs,Tourist Home,5,1951,
Arkansas,Hot Springs,School of Beauty Culture,1,1951,
Arkansas,Hot Springs,Sanitarium,1,1951,
Arkansas,Little Rock,Hotel,6,1951,
Arkansas,Little Rock,Tourist Home,2,1951,
Arkansas,Little Rock,Restaurant,10,1951,
Arkansas,Little Rock,Beauty Parlor,7,1951,
Arkansas,Little Rock,Night Club,2,1951,
Arkansas,Little Rock,Barber Shop,7,1951,
Arkansas,Little Rock,Tavern,1,1951,
Arkansas,Little Rock,Liquor Store,3,1951,
Arkansas,Little Rock,Garage,2,1951,Garage category listed twice
Arkansas,Little Rock,Tailor,5,1951,
Arkansas,Little Rock,Service Station,3,1951,
Arkansas,Little Rock,Drug Store,2,1951,
Arkansas,North Little Rock,Hotel,1,1951,
Arkansas,North Little Rock,Tourist Home,1,1951,
Arkansas,North Little Rock,Restaurant,3,1951,
Arkansas,North Little Rock,Road House,1,1951,
Arkansas,Camden,Tourist Home,2,1951,
Arkansas,Camden,Restaurant,1,1951,
Arkansas,Camden,Tavern,2,1951,
Arkansas,Camden,Liquor Store,1,1951,
Arkansas,South Camden,Road House,1,1951,
Arkansas,Pine Bluff,Hotel,1,1951,
Arkansas,Pine Bluff,Tourist Home,1,1951,
Arkansas,Pine Bluff,Restaurant,2,1951,
Arkansas,Pine Bluff,Barber Shop,1,1951,
Arkansas,Pine Bluff,Beauty Parlor,1,1951,
Arkansas,Pine Bluff,School of Beauty Culture,2,1951,
Arkansas,Pine Bluff,Service Station,1,1951,
Arkansas,Pine Bluff,Garage,1,1951,
Arkansas,Fordyse,Restaurant,1,1951,
Arkansas,Helena,Service Station,1,1951,
Arkansas,Russellville,Tourist Home,1,1951,
Arkansas,Texarkana,Hotel,1,1951,
Arkansas,Texarkana,Tourist Home,1,1951,
Arkansas,Texarkana,Restaurant,1,1951,
Arkansas,Texarkana,Beauty Parlor,1,1951,
Arizona,Douglas,Tourist Home,1,1951,Restaurants category listed without an address or name
Arizona,Nogales,Restaurant,1,1951,
Arizona,Phoenix,Hotel,1,1951,
Arizona,Phoenix,Tourist Home,3,1951,
Arizona,Phoenix,Restaurant,2,1951,
Arizona,Phoenix,Beauty Parlor,3,1951,
Arizona,Phoenix,Barber Shop,2,1951,
Arizona,Phoenix,Tavern,1,1951,
Arizona,Phoenix,Night Club,1,1951,
Arizona,Phoenix,Service Station,1,1951,
Arizona,Phoenix,Garage,1,1951,
Arizona,Phoenix,Drug Store,1,1951,
Arizona,Tucson,Tourist Home,1,1951,
Arizona,Yuma,Hotel,1,1951,
Arizona,Yuma,Tourist Home,1,1951,
California,Berkley,Beauty Parlor,1,1951,
California,Berkley,Barber Shop,1,1951,
California,El Centro,Hotel,1,1951,
California,El Centro,Tourist Home,1,1951,
California,El Centro,Restaurant,1,1951,
California,Fresno,Tourist Home,1,1951,
California,Fresno,Restaurant,2,1951,
California,Fresno,Beauty Parlor,3,1951,
California,Fresno,Barber Shop,3,1951,
California,Fresno,Tavern,1,1951,
California,Fresno,Garage,2,1951,
California,Fresno,Tailor,1,1951,
California,Imperial,Tourist Home,1,1951,
California,Los Angeles,Hotel,11,1951,
California,Los Angeles,Motel,5,1951,
California,Los Angeles,Restaurant,10,1951,
California,Los Angeles,Beauty Parlor,9,1951,
California,Los Angeles,Barber Shop,3,1951,
California,Los Angeles,Tavern,7,1951,
California,Los Angeles,Night Club,8,1951,
California,Los Angeles,Liquor Store,5,1951,
California,Los Angeles,Service Station,15,1951,
California,Los Angeles,Garage,2,1951,
California,Los Angeles,Drug Store,5,1951,
California,Los Angeles,Tailor,2,1951,
California,Los Angeles,Real Estate,1,1951,
California,Lake Elsimore,Hotel,1,1951,Town listed as Elsinore
California,Hollywood,Tourist Home,1,1951,
California,Needles,Motel,1,1951,
California,Oakland,Hotel,2,1951,
California,Oakland,Tourist Home,2,1951,
California,Oakland,Restaurant,1,1951,
California,Oakland,Beauty Parlor,1,1951,
California,Oakland,Tavern,2,1951,
California,Oakland,Service Station,3,1951,
California,Oakland,Tailor,1,1951,
California,Oakland,Garage,1,1951,
California,Perris,Tourist Home,1,1951,
California,Pasadena,Service Station,2,1951,
California,Sacramento,Hotel,1,1951,
California,San Diego,Hotel,2,1951,
California,San Diego,Restaurant,2,1951,
California,San Diego,Service Station,4,1951,
California,San Diego,Liquor Store,1,1951,
California,San Diego,Tailor,4,1951,
California,San Francisco,Hotel,6,1951,
California,San Francisco,Barber Shop,1,1951,
California,San Francisco,Tourist Home,2,1951,
California,San Francisco,Restaurant,2,1951,
California,San Francisco,Beauty Parlor,2,1951,
California,San Francisco,Tavern,1,1951,
California,San Francisco,Night Club,3,1951,
California,San Francisco,Drug Store,3,1951,
California,San Francisco,Liquor Store,2,1951,
California,Santa Monica,Tavern,1,1951,
California,Tulare,Tourist Home,1,1951,
California,Tulare,Tavern,1,1951,
California,Vallejo,Tavern,1,1951,
California,Victorville,Tourist Home,1,1951,
Colorado,Boulder,Restaurant,1,1951,
Colorado,Colorado Springs,Tourist Home,1,1951,
Colorado,Denver,Hotel,1,1951,
Colorado,Denver,Tourist Home,3,1951,"Tourist Homes category listed twice, but with repeated address"
Colorado,Denver,Restaurant,12,1951,Restaurants category listed twice
Colorado,Denver,Beauty Parlor,3,1951,
Colorado,Denver,Barber Shop,3,1951,
Colorado,Denver,Tavern,3,1951,
Colorado,Denver,Liquor Store,3,1951,
Colorado,Denver,Service Station,3,1951,
Colorado,Denver,Taxi Cab,1,1951,
Colorado,Denver,Drug Store,4,1951,
Colorado,Denver,Tailor,4,1951,
Colorado,Greenley,Tourist Home,1,1951,
Colorado,La Junta,Tourist Home,3,1951,
Colorado,La Mar,Hotel,1,1951,
Colorado,La Mar,Restaurant,1,1951,
Colorado,Montrose,Hotel,1,1951,
Colorado,Montrose,Tourist Home,1,1951,
Colorado,Montrose,Restaurant,1,1951,
Colorado,Montrose,Beauty Parlor,1,1951,
Colorado,Montrose,Service Station,1,1951,
Colorado,Montrose,Garage,1,1951,
Colorado,Pueblo,Hotel,1,1951,
Colorado,Pueblo,Tourist Home,2,1951,
Connecticut,Bridgeport,Hotel,1,1951,
Connecticut,Bridgeport,Tourist Home,1,1951,
Connecticut,Bridgeport,Garage,1,1951,
Connecticut,Hartford,Hotel,1,1951,
Connecticut,Hartford,Tourist Home,1,1951,
Connecticut,Hartford,Beauty Parlor,1,1951,
Connecticut,Hartford,Barber Shop,1,1951,
Connecticut,Hartford,Drug Store,1,1951,
Connecticut,Hartford,Liquor Store,5,1951,
Connecticut,Hartford,Tavern,3,1951,
Connecticut,Hartford,Service Station,3,1951,
Connecticut,Meriden,Restaurant,1,1951,
Connecticut,New Haven,Hotel,1,1951,
Connecticut,New Haven,Tourist Home,2,1951,
Connecticut,New Haven,Restaurant,2,1951,
Connecticut,New Haven,Beauty Parlor,4,1951,
Connecticut,New Haven,School of Beauty Culture,1,1951,
Connecticut,New Haven,Night Club,2,1951,
Connecticut,New Haven,Liquor Store,1,1951,
Connecticut,New Haven,Drug Store,1,1951,
Connecticut,New London,Tourist Home,1,1951,
Connecticut,South Norwalk,Hotel,1,1951,
Connecticut,Stamford,Hotel,1,1951,
Connecticut,Stamford,Tourist Home,1,1951,
Connecticut,Stamford,Night Club,1,1951,
Connecticut,Waterbury,Hotel,1,1951,
Connecticut,Waterbury,Tourist Home,2,1951,
Connecticut,Waterbury,Drug Store,2,1951,
Connecticut,Waterbury,Tailor,1,1951,
Connecticut,West Haven,Hotel,2,1951,
Connecticut,West Haven,Tavern,1,1951,
Delaware,Dover,Hotel,3,1951,
Delaware,Laurel,Restaurant,1,1951,
Delaware,Laurel,Barber Shop,1,1951,
Delaware,Laurel,Beauty Parlor,1,1951,
Delaware,Townsend,Hotel,1,1951,
Delaware,Townsend,Garage,1,1951,
Delaware,Wilmington,Hotel,4,1951,
Delaware,Wilmington,Tourist Home,2,1951,
Delaware,Wilmington,Restaurant,1,1951,
Delaware,Wilmington,Beauty Parlor,2,1951,
Delaware,Wilmington,Barber Shop,1,1951,
Delaware,Wilmington,Night Club,1,1951,
Delaware,Wilmington,Service Station,1,1951,
District of Columbia,Washington,Hotel,7,1951,
District of Columbia,Washington,Tourist Home,14,1951,
District of Columbia,Washington,Tavern,6,1951,
District of Columbia,Washington,Restaurant,12,1951,
District of Columbia,Washington,Liquor Store,5,1951,
District of Columbia,Washington,Barber Shop,1,1951,
District of Columbia,Washington,Beauty Parlor,9,1951,
District of Columbia,Washington,Night Club,3,1951,
District of Columbia,Washington,Service Station,2,1951,
District of Columbia,Washington,Drug Store,1,1951,
District of Columbia,Washington,Tailor,1,1951,
Florida,Daytona Beach,Tourist Home,1,1951,
Florida,Daytona Beach,Liquor Store,1,1951,
Florida,Daytona Beach,Service Station,1,1951,
Florida,Delray Beach,Tavern,1,1951,
Florida,Fort Lauderdale,Hotel,1,1951,
Florida,Jacksonville,Hotel,2,1951,
Florida,Jacksonville,Tourist Home,5,1951,
Florida,Jacksonville,Night Club,2,1951,
Florida,Jacksonville,Barber Shop,1,1951,
Florida,Jacksonville,Restaurant,2,1951,
Florida,Jacksonville,Drug Store,2,1951,
Florida,Lake City,Tourist Home,2,1951,
Florida,Lake City,Restaurant,1,1951,
Florida,Lake City,Barber Shop,1,1951,
Florida,Lake City,Beauty Parlor,1,1951,
Florida,Lake City,Service Station,1,1951,
Florida,Lake City,Garage,1,1951,
Florida,Lakeland,Tourist Home,2,1951,
Florida,Miami,Hotel,2,1951,
Florida,Miami,Beauty Parlor,4,1951,
Florida,Miami,School of Beauty Culture,1,1951,
Florida,Miami,Tavern,1,1951,
Florida,Miami,Liquor Store,3,1951,
Florida,Miami,Tailor,1,1951,
Florida,Miami,Taxi Cab,1,1951,
Florida,Orlando,Hotel,1,1951,
Florida,Pensacola,Hotel,1,1951,
Florida,Pensacola,Restaurant,1,1951,
Florida,Pensacola,Tailor,2,1951,
